english,portuguese
I'm only trying to help.,Só estou tentando ajudar.
She is anxious to meet you.,Ela está ansiosa para conhecê-lo.
My college has a dorm.,Minha faculdade tem um dormitório.
I often play soccer after school.,Eu frequentemente jogo futebol depois da escola.
I think that this toothbrush is yours.,Eu acho que essa escova é sua.
I love you with all my heart.,Eu te amo do fundo de meu coração!
I'm the happiest man on Earth.,Sou o homem mais feliz do mundo.
What made you think I was younger than you?,O que te fez pensar que eu era mais jovem que você?
Mary went to the beauty salon.,Mary foi ao salão de beleza.
I give up.,Eu desisto.
It is true that I was head over heels in love with her.,É verdade que eu estava louco de amor por ela.
The poet gave the girl a rose.,O poeta deu à menina uma rosa.
I like exotic foods.,Gosto de comidas exóticas.
I fell behind the rest of the tour group.,Eu fiquei atrás do resto do grupo de excursão.
My television is broken.,Minha televisão está quebrada.
Our team hasn't won a single game so far.,A nossa equipe ainda não venceu um único jogo.
I'll buy it for you tomorrow.,Eu vou comprar isso para você amanhã.
We're replaceable.,Nós somos substituíveis.
"You still live with your parents, don't you?","Você ainda mora com os seus pais, não mora?"
"You were scared, weren't you?","Você estava assustada, não é?"
Neither Tom nor Mary has gone out to eat.,Nem o Tom nem a Mary saíram para comer.
I never plan anything.,Eu nunca planejo nada.
Write the address clearly.,Escreva o endereço claramente.
I felt like I was going to die.,Senti como se eu fosse morrer.
Can I sit beside you?,Eu posso me sentar ao teu lado?
Tom is friendly.,Tom é gentil.
I'm dying of hunger.,Estou morrendo de fome.
Tell me you love me.,Diga que você me ama.
Hold it!,Segure isso!
Come into the room.,Entre no quarto.
I couldn't go to Boston last year.,Não pude ir para Boston ano passado.
Tom won't likely be discouraged.,O Tom provavelmente não ficará desencorajado.
I was not drunk.,Não estava bêbado.
They arrested her.,Eles prenderam ela.
We were quite tired after putting on the play.,Ficamos bastante cansados após a apresentação da peça.
A great many people attended his funeral.,Muita gente assistiu ao seu funeral.
I don't want to work for you.,Eu não quero trabalhar para você.
Do you want it?,Você o quer?
Tom started singing along with Mary.,Tom começou a cantar junto da Mary.
Why are people afraid of Tom?,Por que as pessoas têm medo de Tom?
Prices are too high.,Os preços estão muito alto.
I usually don't make these kinds of mistakes.,Eu não costumo cometer erros como este.
I have to catch a connecting flight.,Eu tenho que apanhar um voo de ligação.
Tom turned to Mary and smiled.,Tom virou para Mary e sorriu.
I couldn't protect Tom.,Eu não consegui proteger o Tom.
I thought that Tom was going to be here today.,Eu pensei que o Tom estaria aqui hoje.
Tom was wearing a raincoat.,Tom estava vestindo uma capa de chuva.
I'm in the backyard.,Estou no quintal.
Who should we believe?,Em quem nós deveríamos acreditar?
Did you enjoy your birthday?,Gostou de seu aniversário?
Tom was the only person in the pool.,Tom era a única pessoa que estava na piscina.
"Genius does what it must, and talent does what it can.","O gênio faz o que deve, o talento faz o que pode."
I asked Tom not to wear his sister's clothes.,Pedi a Tom que não usasse as roupas da irmã.
I want this guitar.,Eu quero esta guitarra.
Tom doesn't want you.,O Tom não quer você.
No man is an island.,Nenhum homem é uma ilha.
Tom wants to know if you remember Mary.,Tom quer saber se você se lembra da Mary.
Life is too short.,A vida é curta demais.
I want to know how much it's going to cost me to go to Australia with you.,Eu quero saber quanto vai me custar ir à Austrália com o senhor.
I've improved a lot.,Eu melhorei muito.
Tom sure does sleep a lot.,Tom realmente dorme demais.
Tom was one of three contestants.,Tom era um dos três competidores.
I collect postcards.,Eu coleciono cartões-postais.
I'm seriously considering getting married.,Eu estou pensando seriamente em me casar.
We'd hoped that Tom would be able to come home for Christmas.,Estávamos esperando que Tom poderia vir para casa no natal.
You aren't allowed in there.,Você não está autorizado a entrar lá.
He's my brother.,Ele é o meu irmão.
We use our feet to walk.,Nós usamos os nossos pés para andar.
I'm not good enough for Tom.,Eu não sou bom o bastante para Tom.
Why do you resist?,Por que você resiste?
Are you sure you don't want anything?,Vocês têm certeza de que não querem nada?
You must be able to speak either English or Spanish in this company.,Você precisa saber falar Inglês ou Espanhol nesta empresa.
Who's coming with us?,Quem vem com a gente?
What do you want to do this afternoon?,O que você quer fazer esta tarde?
Don't expect that to happen any time soon.,Não espere que isso aconteça a qualquer hora.
How can we survive?,Como podemos sobreviver?
"Tom is capable of doing it, isn't he?","Tom é capaz de fazer isso, não é?"
I love walking along the river.,Adoro caminhar ao longo do rio.
Is it dirty?,Está sujo?
I'm not afraid of dying.,Eu não tenho medo de morrer.
Tom said that Mary is fascinated by that.,O Tom disse que a Mary é fascinada por isso.
Tom learned how to do that from his grandfather.,Tom aprendeu a fazer isso com o avô dele.
I hope Tom didn't lose his temper.,Espero que Tom não tenha perdido a paciência.
It's not for you.,Não é para você.
I thought I could do that by myself.,Achei que conseguiria fazer isso sozinho.
Check this.,Verifiquem isto.
Tom will probably pass the exam.,O Tom provavelmente vai passar no exame.
True happiness consists of desiring little.,A felicidade verdadeira consiste em desejar pouco.
Tom doesn't want to stay at home.,Tom não quer ficar em casa.
Tom didn't try to hide the truth.,Tom não tentou omitir a verdade.
Do they know?,Eles sabem?
I got here Monday night.,Eu cheguei aqui segunda-feira à noite.
Tom is very shy.,Tom é muito tímido.
Tom hopes Mary knows what John wants her to do.,Tom espera que Mary saiba o que John quer que ela faça.
He was able to solve the problem.,Ele foi capaz de solucionar o problema.
I don't think Tom is hiding anything.,Não acho que o Tom esteja escondendo alguma coisa.
I wish I had a reason not to go.,Queria ter uma razão para não ir.
We had no idea what was going to happen.,Não tínhamos ideia do que ia acontecer.
"You're beautiful, you know?","Você é linda, sabia?"
My grandfather was an archaeologist.,O meu avô era arqueólogo.
I'm thirty years older than you.,Eu sou trinta anos mais velho do que você.
Tom was moaning in pain.,Tom estava gemendo de dor.
You knew how to count to ten when you were two years old.,Você sabia contar até dez quando você tinha dois anos.
I want to see you in my office.,Quero ver você no meu escritório.
Tom didn't call.,Tom não ligou.
It's a full moon.,É lua cheia.
What brings you back here?,O que o traz de volta aqui?
I promise you I'll come early.,Eu te prometo que virei cedo.
How do I turn this off?,Como desligo isto?
I'm still angry.,Ainda estou bravo.
It seems interesting.,Parece interessante.
He is the last person to speak ill of others.,Ele é a última pessoa a falar mal dos outros.
You can't tempt me.,Você não pode me seduzir.
Tom spoke highly of Mary.,Tom falou muito bem de Maria.
We were witnesses of the accident.,Nós fomos testemunhas da acidente.
Tom showed me a picture of his car.,Tom me mostrou uma foto do carro dele.
I painted the fence white.,Eu pintei a cerca de branco.
The boy was crying in the room.,O menino estava chorando no quarto.
Tom opened the drawer.,Tom abriu a gaveta.
Tom said that he likes to swim.,Tom disse que gosta de nadar.
He was looking a bit nervous yesterday.,Parecia meio nervoso ontem.
I've already done what I was supposed to do.,Já fiz o que tinha de fazer.
The event is on Monday.,O evento é na segunda.
Why do you like that so much?,Por que tu gostas tanto disso?
Hang your clothes here.,Pendure as suas roupas aqui.
I'm a vegetarian.,Sou um vegetariano.
Tom didn't say anything about his origins.,Tom não disse nada sobre sua origem.
Do you play golf?,Você joga golfe?
I think Tom shouldn't stay at home tomorrow.,Eu acho que o Tom não devia ficar em casa amanhã.
Tom is the only one of us who isn't Canadian.,Tom é o único dentre nós que não é canadense.
Tom said he wasn't looking forward to this afternoon's meeting.,Tom disse que não estava ansioso para a reunião desta tarde.
You seem like a very intelligent person.,Tu pareces ser uma pessoa muito inteligente.
Are you going out?,Você está de saída?
Tom arrived home soaking wet.,Tom chegou em casa encharcado.
I'm not going unless Tom goes.,"Não irei, a não ser que o Tom vá."
Tom quickly got out of the car.,Tom saiu rapidamente do carro.
"Which one do you prefer, the red one or the blue one?","Qual você prefere, o vermelho ou o azul?"
Tom still looks upset.,O Tom ainda parece estar abatido.
Einstein was a mathematical genius.,Einstein foi um gênio matemático.
Who started all this?,Quem começou tudo isso?
Brush your hair.,Escove o cabelo.
"Thanks. ""You're welcome.""","Obrigado. ""Por nada."""
You need to pay three more dollars.,Você precisa pagar mais três dólares.
I can pick you up from work if you want me to.,"Se quiser, posso vir te buscar no trabalho."
I heard some shots.,Eu ouvi uns tiros.
Don't let Tom read this.,Não deixe o Tom ler isso.
Tom wouldn't actually do that.,Tom não faria isso de verdade.
I'll decide who does it.,Eu vou decidir quem faz.
Get on the bus.,Entre no ônibus.
I'd rather stay at home.,Preferiria ficar em casa.
"You enjoy working here, don't you?","Você gosta de trabalhar aqui, né?"
There is a bookstore in front of my house.,Há uma livraria em frente a minha casa.
I was cut off while I was speaking.,Fui interrompida enquanto estava falando.
Tom doesn't like speaking in public.,O Tom não gosta de falar em público.
I realize now there's no other solution.,Agora percebo que não há outra solução.
I thought that Tom did all right.,Eu pensava que o Tom tinha se saído bem.
The white building was destroyed by the earthquake.,O prédio branco foi destruído pelo terremoto.
"Thanks for the help, guys.","Obrigada pela ajuda, pessoal."
That's not fair.,Não é justo.
A picture is worth a thousand words.,Uma imagem vale mais que mil palavras.
I don't think that she looks like her mother.,Não acho que ela se pareça com a mãe dela.
I saw you yesterday.,Eu te vi ontem.
We'll leave as soon as you're ready.,Partiremos assim que estiverem prontas.
I like cabbage.,Eu gosto de repolho.
Tom said that he liked the wine.,Tom disse que gostou do vinho.
There's one little problem.,Há um pequeno problema.
I can't afford it.,Não posso bancá-lo.
Do you have a warrant?,Você tem mandado?
It's quite apparent that you don't want to do this for me.,É bem visível que você não quer fazer isto para mim.
I'm color-blind.,Sou daltônico.
I'm getting better.,Estou melhorando.
I like fish.,Gosto de peixes.
They're going to find Tom.,Eles vão encontrar o Tom.
"Tom is selfish, isn't he?","Tom é egoísta, não é?"
Tom and Mary never told me that they used to live in Boston.,Tom e Mary nunca me disseram que moravam em Boston.
We'll have to work together on that.,Nós teremos de trabalhar juntos nisso.
Tom doesn't even know what this is.,Tom nem sabe o que é isso.
I never doubted that.,Nunca duvidei disso.
Why don't we do it right now?,Por que nós não fazemos isso agora?
You're not my friend anymore.,Você não é mais meu amigo.
I think I need help.,Eu acho que preciso de ajuda.
I want three pairs of socks.,Eu quero três pares de meias.
This problem can't be solved with money.,Este problema não se resolve com dinheiro.
I thought Tom was exaggerating.,Eu pensei que o Tom estivesse exagerando.
That book is theirs.,Esse livro é delas.
You're always drinking alone.,Vocês sempre bebem sozinhos.
Were you the one who chose this?,Você foi quem escolheu isso?
I want to do something interesting.,Eu quero fazer algo interessante.
What happened to my car?,O aconteceu com o meu carro?
Tom looks like his brother.,Tom se parece com o irmão.
Tom doesn't live very far away.,Tom não mora muito longe.
I know Tom isn't ready yet.,Eu sei que Tom ainda não está preparado.
Everybody laughed at me.,Todo mundo riu de mim.
I invited my friends over for coffee.,Convidei meus amigos para um café.
I believe you know the rules.,Eu acho que você sabe as regras.
Both Tom and Mary were wrong.,Tanto o Tom quanto a Mary estavam errados.
Can you tell me what day it is today?,Dá para você me dizer que dia é hoje?
The teacher said that he didn't know the answer to my question.,A professora disse que não sabe a resposta para a pergunta que eu fiz.
What did I forget to buy?,O que esqueci de comprar?
Is this car new?,Este carro é novo?
There's no need to ask for permission.,Não precisa pedir permissão.
Tom does nothing all day but read.,O Tom não faz nada o dia todo a não ser ler.
He was too sleepy to read the evening newspaper.,Ele estava muito sonolento para ler o jornal da noite.
Nobody deserves to die like that.,Ninguém merece morrer assim.
He doesn't know how to play the guitar.,Ele não sabe tocar violão.
Tom and Mary don't need a chaperone.,Tom e Mary não precisam de um acompanhante.
Tom and Mary are still outside.,Tom e Mary ainda estão lá fora.
All my friends have children.,Todos os meus amigos têm filhos.
Don't talk nonsense.,Não fale bobagem.
Just settle down.,Só se acalme.
We had native guides on our trip to the mountain.,Nós tínhamos guias nativos na nossa viagem para a montanha.
All the guys laughed.,Todos os rapazes riram.
I'm aware that the delay will frustrate some people.,Estou ciente de que o atraso vai frustrar algumas pessoas.
Don't beat around the bush.,Pare de enrolar.
Why is Mary wearing a fancy dress today?,Por que Mary está usando um vestido extravagante hoje?
Yesterday was hot.,Ontem fez muito calor.
Tom needs medical attention.,Tom precisa de atenção médica.
Is that a zebra?,Aquilo é uma zebra?
Tom flicked off the TV.,Tom desligou a TV.
He was utterly perplexed.,Ele ficou completamente perplexo.
Why does Tom cry so much?,Por que o Tom chora tanto?
That old woman lives by herself.,Aquela velha senhora mora sozinha.
Can you still hear me?,Você ainda pode me ouvir?
I'd like to leave early.,Eu gostaria de sair cedo.
I want to know everything.,Eu quero saber tudo.
A man like me needs a hat.,"Um homem, assim como eu, precisa de um chapéu."
Tom wasn't fully aware of the situation.,Tom não estava totalmente ciente da situação.
Who will take the place of his mother?,Quem vai tomar o lugar da mãe dele?
We started to walk.,Começamos a andar.
This is a very special day.,Hoje é um dia muito especial.
I was the only person in the office.,Fui a única pessoa no escritório.
Go ahead without me.,Continuem sem mim.
I'm wet.,Estou molhado.
Apples are sold by the dozen.,As maçãs são vendidas por dúzia.
Tom learned that the hard way.,Tom aprendeu isso da pior maneira.
Tom has got nowhere to go.,Tom não tem para onde ir.
We wouldn't stand a chance against Tom's gang.,Não teríamos nenhuma chance contra a gangue de Tom.
This is where I was born.,Foi aqui que eu nasci.
Do you run every day?,A senhora corre todo dia?
"By the time you get out of jail, she'll probably have gotten married.","Quando você sair da prisão, ela, provavelmente, estará casada."
Tom said that Mary has been wanting to do that ever since she was a little girl.,Tom disse que Mary queria fazer isso desde que era uma garotinha.
I need to know that I can count on you.,Preciso saber se eu posso contar com você.
I think Tom doesn't know how to swim.,Eu acho que Tom não sabe nadar.
Tom looks stunned.,O Tom parece estar atordoado.
Why do you need change?,Por que você precisa de troco?
How did you know that I was Canadian?,Como vocês sabiam que eu era canadense?
Tom is waiting at the gate.,Tom está esperando no portão.
I love walking along the river.,Adoro caminhar perto do rio.
I remember the day we met.,Lembro do dia que nos conhecemos.
He doesn't know anything about Germany.,Ele não sabe nada sobre a Alemanha.
Tom got home about midnight.,O Tom chegou em casa por volta da meia-noite.
How long have you lived in Boston?,Você morou em Boston por quanto tempo?
I'd love to come with you.,Adoraria vir com você.
Do you know who that is?,Você sabe quem é aquele?
Tom says he doesn't believe Mary actually did her homework by herself.,Tom diz que não acredita que Mary realmente tenha feito a lição de casa sozinha.
You talk fast.,Você fala rápido.
Tom loves reading.,Tom adora ler.
Have you been thinking about me?,O senhor tem pensado em mim?
Welcome to Australia.,Bem-vindo à Austrália.
Let's go to an all-you-can-eat place and have a big dinner.,Vamos a um rodízio para ter uma grande refeição.
Tom has to be punished.,O Tom tem que ser punido.
I can't really remember.,Não consigo lembrar de jeito nenhum.
He is past forty.,Ele tem mais de quarenta.
You don't have to go to school today.,Você não tem de ir para a escola hoje.
Tom said he didn't need any more volunteers.,Tom disse que não precisava de mais voluntários.
It's strange that Tom isn't here yet.,É estranho o Tom não estar aqui ainda.
Tom is one of the nicest people I know.,Tom é uma das pessoas mais legais que eu conheço.
That's not necessary.,Isso não é necessário.
Do I need to change my diet?,Preciso mudar a minha dieta?
I'm having a very hard time finding parts for my car.,Estou tendo dificuldades em encontrar peças para o meu carro.
We never forget.,Nós nunca esquecemos.
Tom has found something valuable.,O Tom encontrou algo de valor.
Is the food ready?,Será que a comida está pronta?
The Second World War was not yet over.,A Segunda Guerra Mundial ainda não havia acabado.
Her friends waited for her by the gate.,Seus amigos esperavam-na ao portão.
"It's my fault, not yours.","A culpa é minha, não sua."
It's so weird.,Está tão estranho.
I often work in Boston.,Eu trabalho em Boston com frequência.
"Well, I'm busy, too.","Bom, eu também estou ocupado."
I'm not sure why.,Não tenho certeza do porquê.
Do you like haggling?,Você gosta de pechinchar?
Promise me that you won't ever do that.,Me prometa que você nunca vai fazer isso.
Can you run as fast as Tom?,Você consegue correr tão rápido quanto Tom?
Tom is John's middle name.,Tom é o nome do meio de John.
We made a sand castle.,Fizemos um castelo de areia.
I heard that a week ago.,Eu ouvi isso uma semana atrás.
Denial is a terrible thing.,A negação é uma coisa terrível.
Don't make the same mistakes that I did.,Não cometam os mesmos erros que eu cometi.
Her books sell pretty well.,Seus livros vendem muito bem.
We have a lot of things in common.,Nós temos muitas coisas em comum.
Tom was a waiter.,Tom era garçom.
How did you pay for this computer?,Como foi que você pagou por este computador?
I like to watch TV.,Eu gosto de assistir à televisão.
It's all we have.,É tudo o que temos.
I don't know anyone named Tom.,Não conheço ninguém chamado Tom.
You appear unwilling to do that.,Você não parece estar com vontade de fazer isso.
Which are the best ones?,Quais são as melhores?
I'm chubby.,Sou gordinho.
I saw him enter the store.,Eu o vi entrando na loja.
I don't want you to enjoy it.,Eu não quero que você se divirta.
Tom was in seventh heaven.,O Tomás estava no Sete-Estrelo.
